empty_slots,free_bikes,Latitude,Longitude,Bike_station,Total_bikes,Category,Rating,Restaurant_name,Location,Distance
4,13,49.28,-123.11,Carrall & Seawall,17,Belgian,4.0, Chambar, 568 Beatty Street,2855.66
4,13,49.28,-123.11,Carrall & Seawall,17,"Seafood, Seafood Markets",4.5, Fanny Bay Oyster Bar & Shellfish Market, 762 Cambie St,2598.46
4,13,49.28,-123.11,Carrall & Seawall,17,Breakfast & Brunch,4.5, Jam Cafe on Beatty, 556 Beatty Street,2873.7
18,3,49.28,-123.11,Dunsmuir & Richards,21,Restaurant,-1.0,Le Doux Ciel ,65 Smithe St ,674.0
18,3,49.28,-123.11,Dunsmuir & Richards,21,Flower Store,-1.0,Heathers the Flowershop ,422 Cordova St W ,849.0
18,3,49.28,-123.11,Dunsmuir & Richards,21,Flower Store,-1.0,D&D Flowers ,531 Richards St ,537.0
18,3,49.28,-123.11,Dunsmuir & Richards,21,Flower Store,-1.0,For the Moment Floral Designs ,543 Pender St W ,647.0
18,3,49.28,-123.11,Dunsmuir & Richards,21,Belgian,4.0, Chambar, 568 Beatty Street,2855.66
18,3,49.28,-123.11,Dunsmuir & Richards,21,"Seafood, Seafood Markets",4.5, Fanny Bay Oyster Bar & Shellfish Market, 762 Cambie St,2598.46
18,3,49.28,-123.11,Dunsmuir & Richards,21,Breakfast & Brunch,4.5, Jam Cafe on Beatty, 556 Beatty Street,2873.7
14,10,49.28,-123.11,Richards & Cordova,24,Restaurant,-1.0,Le Doux Ciel ,65 Smithe St ,674.0
14,10,49.28,-123.11,Richards & Cordova,24,Flower Store,-1.0,Heathers the Flowershop ,422 Cordova St W ,849.0
14,10,49.28,-123.11,Richards & Cordova,24,Flower Store,-1.0,D&D Flowers ,531 Richards St ,537.0
14,10,49.28,-123.11,Richards & Cordova,24,Flower Store,-1.0,For the Moment Floral Designs ,543 Pender St W ,647.0
14,10,49.28,-123.11,Richards & Cordova,24,Belgian,4.0, Chambar, 568 Beatty Street,2855.66
14,10,49.28,-123.11,Richards & Cordova,24,"Seafood, Seafood Markets",4.5, Fanny Bay Oyster Bar & Shellfish Market, 762 Cambie St,2598.46
14,10,49.28,-123.11,Richards & Cordova,24,Breakfast & Brunch,4.5, Jam Cafe on Beatty, 556 Beatty Street,2873.7
13,11,49.29,-123.11,Canada Place,24,Flower Store,-1.0,First Blossom Floral Boutique ,880 Cordova St W ,852.0
13,11,49.29,-123.11,Canada Place,24,Flower Store,-1.0,Cariboo Rose Resources Ltd ,325 Howe St ,826.0
13,11,49.29,-123.11,Canada Place,24,Flower Store,-1.0,Flowerz ,880 Cordova St W ,862.0
13,11,49.29,-123.11,Canada Place,24,"Japanese, Sushi Bars, Vegetarian",4.5, Miku, 200 Granville Street,3517.85
9,8,49.29,-123.11,Seymour & Cordova,17,Flower Store,-1.0,First Blossom Floral Boutique ,880 Cordova St W ,852.0
9,8,49.29,-123.11,Seymour & Cordova,17,Flower Store,-1.0,Cariboo Rose Resources Ltd ,325 Howe St ,826.0
9,8,49.29,-123.11,Seymour & Cordova,17,Flower Store,-1.0,Flowerz ,880 Cordova St W ,862.0
9,8,49.29,-123.11,Seymour & Cordova,17,"Japanese, Sushi Bars, Vegetarian",4.5, Miku, 200 Granville Street,3517.85
11,7,49.29,-123.11,Cordova & Granville,18,Flower Store,-1.0,First Blossom Floral Boutique ,880 Cordova St W ,852.0
